Label,Category,Meaning Sound,From,To
Fabric,ELEMENTS & MATERIALS,"A normalized, continuous parameter ranging from 0 to 1 that reflects the presence of textile or soft materials, or symbolic associations with softness, intimacy, or concealment.

0 = No Fabric Presence:
Sounds that are hard, sharp, or solid with no softness or cloth-like texture.
Spectrum Characteristics: Crisp transients, no soft rustling or friction, clean attack/decay.
Example Labels: ""Hammer"", ""Glass clink"", ""Bell"", ""Chainsaw"", ""Typing""

0.5 = Partial Fabric Presence:
Sounds with some soft friction or fabric involvement, but not the dominant material.
Spectrum Characteristics: Soft mid-high frequency rustle, short sustain, often mixed with skin or ambient noise.
Example Labels: ""Clothing rustle"", ""Backpack zipper"", ""Soft footsteps"", ""Curtain movement""

1 = Full Fabric Presence:
Sounds dominated by textile movement or contact, such as brushing, draping, or folding of cloth.
Spectrum Characteristics: Low-transient, mid-to-high frequency friction noise, soft envelope.
Example Labels: ""Fabric rustle"", ""Blanket movement"", ""Drapery"", ""Clothing shuffle""",,
Plastic,ELEMENTS & MATERIALS,"A normalized, continuous parameter ranging from 0 to 1 that reflects the auditory presence of plastic or synthetic surfaces, or symbolic qualities like artificiality, smoothness, and disposability.

0 = No Plastic Presence:
Sounds that are entirely natural, organic, or metallic, with no synthetic texture.
Spectrum Characteristics: Non-uniform frequency response, warm and resonant decay, rough or textural feel.
Example Labels: ""Birdsong"", ""Speech"", ""Wood knock"", ""Rock"", ""Ocean""

0.5 = Partial Plastic Presence:
Sounds where plastic is part of the object, but not dominant — e.g., buttons, packaging, or mixed materials.
Spectrum Characteristics: Smooth mid-high frequency curves, some ""clicky"" or resonant tones.
Example Labels: ""Button press"", ""Plastic bag rustle"", ""Toy click"", ""Cup lid""

1 = Full Plastic Presence:
Sounds dominated by plastic materials — molded, synthetic, glossy, or artificial in feel.
Spectrum Characteristics: Clean but flat high-frequency edges, fast decay, low acoustic resonance, hollow quality.
Example Labels: ""Plastic crinkle"", ""Toy rattle"", ""Packaging"", ""Plastic snap""",,
Organic,ELEMENTS & MATERIALS,"A normalized, continuous parameter ranging from 0 to 1 that reflects the auditory or symbolic presence of animal-derived organic textures, such as skin, fur, voice, or breath. This parameter captures the tactile, biological, and symbolic character of organic materials — whether literal (body sounds, fur, leather) or symbolic (wildness, intimacy, sensuality, mortality).

0 = No Organic Presence:
Sounds that lack any auditory trace of animal-origin surfaces or biological activity. These sounds are purely synthetic, mechanical, metallic, or environmental, without breath, bodily texture, or vocal characteristics.
Spectrum Characteristics: Clean or artificial spectral envelopes, sharp mechanical transients, minimal midrange warmth, absence of breath or tactile friction.
Example Labels: ""Glass breaking"", ""Air horn"", ""Alarm"", ""Typing"", ""Electric toothbrush"", ""Beep""

0.5 = Partial Organic Presence:
Sounds that include human or animal elements — such as breath, chewing, or soft contact with skin/fur — but are not entirely defined by them. These may be blended with other materials like fabric, tools, or environment.
Spectrum Characteristics: Breath or friction noise layered with structured transients, mild warmth in mid frequencies, presence of irregular biological textures.
Example Labels: ""Breathing"", ""Cough"", ""Chewing"", ""Footsteps"", ""Rustling clothes"", ""Sniff""

1 = Fully Organic Presence:
Sounds that are dominated by biological material or presence, such as human voice, animal sounds, bare skin, or fur-related textures. These convey physicality, sensuality, and vitality, and are often intimate or wild in tone.
Spectrum Characteristics: Warm, mid-to-low frequency emphasis, nonlinear waveforms, fluid transitions, vocal harmonics, frictional contact.
Example Labels: ""Laughter"", ""Snoring"", ""Baby cry"", ""Growling"", ""Heart beat"", ""Animal call"", ""Whimper"", ""Panting""",,
Flora,LIVING SYSTEMS,"A normalized, continuous parameter ranging from 0 to 1 that reflects the auditory or symbolic presence of plant-based natural material within a soundscape. This axis captures the organic, vegetative essence of flora — whether literal (leaves, trees, vegetation) or symbolic (growth, fragility, nature, cycles).

0 = No Flora Presence:
Sounds that contain no vegetation-related content — neither literal plant movement nor symbolic evocations of botanical life. These are typically mechanical, vocal, aquatic, or synthetic in nature.
Spectrum Characteristics: Lacks broadband rustling; dominated by distinct tonal events or transients; no soft organic noise layers.
Example Labels: ""Typing"", ""Speech"", ""Metal impact"", ""Electric guitar"", ""Alarm""

0.5 = Partial Flora Presence:
Sounds that include some plant-related textures, such as leaves rustling, trees swaying, or grassy environments — but not as dominant elements. Often appears layered within a larger environmental scene.
Spectrum Characteristics: Mid-high frequency friction; irregular rustling textures; layered or ambient components mixed with other sound types.
Example Labels: ""Rustling leaves"", ""Walking through forest"", ""Wind in trees"", ""Birdsong + foliage""

1 = Fully Flora Presence:
Sounds dominated by vegetation or plant-based textures, such as thick foliage, grass, or tree-dominated environments. These evoke lushness, growth, or environmental immersion.
Spectrum Characteristics: Rich in high-mid frequency textures; chaotic but soft transients; continuous rustling, crackling, or swaying patterns; ambient layering.
Example Labels: ""Jungle ambience"", ""Forest floor"", ""Tree canopy movement"", ""Dense brush rustle""",,
Fauna,LIVING SYSTEMS,"A normalized, continuous parameter ranging from 0 to 1 that reflects the auditory or symbolic presence of animal life within a soundscape. This axis captures the organic, animate essence of fauna — whether literal (mammals, birds, insects) or symbolic (movement, vitality, instinct, wilderness).
0 = No Fauna Presence:
Sounds that contain no animal-related content — neither literal vocalizations nor symbolic evocations of living creatures. These are typically mechanical, human-made, elemental, or purely environmental without animal activity.
Spectrum Characteristics: Absence of calls, cries, or organic rhythmic patterns; dominated by steady noise layers, mechanical tones, or non-biological textures.
Example Labels: “Rainfall”, “Wind”, “Car engine”, “Typing”, “Thunder”
0.5 = Partial Fauna Presence:
Sounds that include some animal-related elements, such as occasional bird calls, insect chirps, or distant mammal sounds — but not as the dominant layer. Often occurs as accents within a larger environmental or human-made scene.
Spectrum Characteristics: Irregular tonal or rhythmic bursts; mid-to-high frequency calls or textures; intermittent organic presence embedded in broader soundscapes.
Example Labels: “Birdsong with traffic”, “Distant dog barking”, “Crickets at night with wind”, “Sheep in meadow with bells”
1 = Full Fauna Presence:
Sounds dominated by animal life and vocalizations — dense layers of calls, cries, or movements, evoking wildness, vitality, and immersion in living ecosystems.
Spectrum Characteristics: Rich tonal diversity; layered rhythmic and melodic animal signals; irregular dynamics with high temporal variation; organic unpredictability.
Example Labels: “Jungle chorus”, “Swarm of insects”, “Flock of birds”, “Farmyard”, “Wolf pack howling”",,
Spring,ENVIRONMENTAL ATMOSPHERES,"A normalized, continuous parameter ranging from 0 to 1 that reflects how strongly a sound evokes the atmosphere, qualities, or symbolism of spring — either through literal cues (nature, life) or symbolic ones (awakening, softness, renewal).

0 = No Spring Presence:
No signs of spring — no vegetation, lightness, or freshness. Sounds may be harsh, dry, urban, or unrelated to natural cycles.
Spectrum Characteristics: Dense, low-frequency or synthetic energy; little ambient softness or organic rhythm.
Example Labels: ""Typing"", ""Drill"", ""Traffic"", ""Air horn"", ""Alarm""

0.5 = Partial Spring Presence:
Some qualities of spring appear, such as birds, light breezes, or soft foliage — but mixed with other tonalities.
Spectrum Characteristics: Mid-high frequency patterns; soft ambient layers; chirps, flutter, or gentle wind textures.
Example Labels: ""Birdsong"", ""Rustling leaves"", ""Light wind"", ""Rain on leaves"", ""Forest ambience""

1 = Full Spring Presence:
Sound is dominated by spring-like elements — renewal, bloom, or freshness.
Spectrum Characteristics: Bright, lively textures; layered chirps; airiness and light movement; tonal softness.
Example Labels: ""Chirping birds"", ""Garden"", ""Tree canopy"", ""Meadow breeze"", ""Spring rain""",,
Summer,ENVIRONMENTAL ATMOSPHERES,"A normalized, continuous parameter ranging from 0 to 1 that reflects how strongly a sound conveys the essence of summer — through brightness, activity, leisure, heat, or environmental fullness.

0 = No Summer Presence:
No auditory signs of warmth or energy — sounds are cold, sparse, or seasonal opposites (e.g., snow, wind, cold rain).
Spectrum Characteristics: High contrast or dry textures; minimal ambient fullness or high-frequency activity.
Example Labels: ""Snow footsteps"", ""Cold wind"", ""Thunderstorm"", ""Heater"", ""Fireplace""

0.5 = Partial Summer Presence:
Some signs of summer — insects, splashing, outdoor scenes, or bright environmental textures.
Spectrum Characteristics: Mid-frequency warmth, rhythmic sounds, occasional high-pitch buzzing or air movement.
Example Labels: ""Splashing water"", ""Insect buzzing"", ""Children playing"", ""Outdoor ambient"", ""Light breeze""

1 = Full Summer Presence:
Soundscape is vibrant, sunny, or activity-filled — evoking heat, light, or freedom.
Spectrum Characteristics: Broad dynamic range; high-energy bursts; consistent ambient life; buzzing, laughter, outdoor echo.
Example Labels: ""Cicadas"", ""Swimming pool"", ""Crowd at beach"", ""Laughter outdoors"", ""Fireworks""",,
Autumn,ENVIRONMENTAL ATMOSPHERES,"A normalized, continuous parameter ranging from 0 to 1 that reflects the auditory or symbolic atmosphere of autumn — whether through falling textures, fading life, or a nostalgic tone.

0 = No Autumn Presence:
No signs of transition or decay — sounds feel sterile, artificial, or unrelated to seasonal changes.
Spectrum Characteristics: Clean synthetic tones, hard transients, no rustle or natural decay.
Example Labels: ""Typing"", ""Beep"", ""Microwave"", ""Glass clink""

0.5 = Partial Autumn Presence:
Some leaves, dry foliage, fading birdsong, or shifting weather. Transitional scenes with some earthy textures.
Spectrum Characteristics: Grainy midrange, mild rustling, soft percussive decay.
Example Labels: ""Leaves rustling"", ""Birds in background"", ""Distant wind"", ""Dry branches""

1 = Full Autumn Presence:
Dominated by sounds of falling leaves, mist, harvest activity, or stillness.
Spectrum Characteristics: Soft mid-to-low textures; slow fading dynamics; tactile rustling and dry organic surfaces.
Example Labels: ""Forest floor"", ""Dry leaf movement"", ""Calm wind through trees"", ""Harvest field""",,
Winter,ENVIRONMENTAL ATMOSPHERES,"A normalized, continuous parameter ranging from 0 to 1 that reflects the sound-based essence of winter — coldness, stillness, isolation, or crisp sonic clarity.

0 = No Winter Presence:
Sounds have no association with cold, snow, or stillness — may feel warm, lush, or summery.
Spectrum Characteristics: Warm mids, ambient fullness, lack of high-frequency chill.
Example Labels: ""Jungle"", ""Campfire"", ""Crowd""

0.5 = Partial Winter Presence:
Some winter traits — crunching snow, icy wind, muffled tones, etc., but blended with other cues.
Spectrum Characteristics: High frequency sharpness, low ambient density, minimal reverberation.
Example Labels: ""Snow walking"", ""Cold wind"", ""Frozen lake"", ""Breath in air""

1 = Full Winter Presence:
Sound is dominated by cold, stillness, or wintry activity — evoking chill and silence.
Spectrum Characteristics: Sparse or minimal textures; brittle transients; subtle ambient tone; crisp high end.
Example Labels: ""Snowstorm"", ""Icy crackle"", ""Breath in cold air"", ""Wind in bare trees""",,
Weather,ENVIRONMENTAL ATMOSPHERES,"A normalized, continuous parameter from 0 (no weather) to 1 (dynamic/extreme), describing the atmospheric energy or turbulence in a soundscape — beyond season.
0 = No Weather:
Sounds without any atmospheric activity — clear, stable, and neutral conditions, no wind, rain, or turbulence.
Spectrum Characteristics: Dry ambient field, consistent tone, minimal motion, absence of broadband noise.
Example Labels: “Still nature”, “Silent sky”, “Open air”, “Room tone”
0.5 = Mild Weather Presence:
Sounds with gentle or moderate atmospheric elements — light wind, mist, faint rain, or subtle sky activity.
Spectrum Characteristics: Smooth dynamics; low-level ambient textures; soft fluctuations without disruption.
Example Labels: “Light wind”, “Mist”, “Distant thunder”, “Soft rain”
1 = Strong Weather:
Sounds dominated by chaotic or violent weather — storms, blizzards, heavy rain, or strong winds.
Spectrum Characteristics: High amplitude fluctuation; low-frequency rumble; broadband spectral noise with irregular bursts.
Example Labels: “Thunderstorm”, “Hurricane”, “Heavy rain”, “Blizzard”, “Windstorm”",Bad,Good
Thermality,ENVIRONMENTAL ATMOSPHERES,"A normalized, continuous parameter from 0 (cold) to 1 (warm) that reflects the perceived thermal tone of a sound — based on timbre, spectrum, and affective cues.

0 = Cold:
Evokes chill, sterility, or distance.
Spectrum Characteristics: High-frequency dominance, sharp edges, mechanical or metallic textures.
Example Labels: ""Beep"", ""Glass break"", ""Wind"", ""Freezer hum"", ""Ice crack""

0.5 = Neutral:
Balanced between warmth and cold — not distinctly thermal.
Spectrum Characteristics: Even spectral distribution; midrange presence without emphasis.
Example Labels: ""Speech"", ""Typing"", ""Moderate rain"", ""Calm water""

1 = Warm:
Evokes heat, closeness, and comfort.
Spectrum Characteristics: Low-mid emphasis, harmonic richness, organic textures.
Example Labels: ""Fire crackling"", ""Laughter"", ""Acoustic guitar"", ""Cooking""",Cold,Warm
Artificial - Natural,SPATIAL & TEMPORAL,"A normalized, continuous parameter from 0.0 (fully artificial) to 1.0 (fully natural), indicating whether a sound is composed of or evokes natural versus man-made elements, materials, or systems. This reflects a sound’s ontological origin — whether it arises from organic processes or human intervention.

0 = Fully Artificial:
The soundscape is dominated by synthetic or human-engineered sources, such as machines, alarms, vehicles, or digital tones.
Spectrum Characteristics: Regular repetition, tonal stability, synthetic waveforms, sharp transients, high-frequency emphasis.
Example Labels: ""Beep"", ""Typing"", ""Alarm"", ""Electric toothbrush"", ""Car engine"", ""Speech synthesizer""

0.5 = Blended:
A coexistence of natural and artificial elements — such as nature with traffic, birds with machines, or human voice in a forest.
Spectrum Characteristics: Mixed textures; layered organic sounds with structured noise; partial synthetic timbres.
Example Labels: ""Birds and car noise"", ""Wind and train"", ""Footsteps on gravel"", ""Human in forest""

1 = Fully Natural:
The soundscape is entirely organic, with no audible signs of human or synthetic origin — featuring raw, environmental, or animal sources.
Spectrum Characteristics: Irregular, broad-spectrum noise; non-repetitive; rich low-mid texture; ambient layering.
Example Labels: ""Birdsong"", ""Rain"", ""River"", ""Thunder"", ""Insect buzzing"", ""Waves""",Artificial,Natural
Urban - Rural,SPATIAL & TEMPORAL,"A normalized, continuous parameter from 0.0 (fully urban) to 1.0 (fully rural), describing how a sound reflects city infrastructure vs. countryside environments. It expresses spatial character, human density, and acoustic complexity.

0 = Fully Urban:
Soundscape dominated by dense, built environments — traffic, chatter, sirens, HVAC systems.
Spectrum Characteristics: High dynamic activity; overlapping sources; broadband noise; short reverberation.
Example Labels: ""Traffic"", ""Sirens"", ""City ambience"", ""Subway"", ""Construction""

0.5 = Semi-urban / Transitional:
Mixed soundscapes with both natural and man-made elements, such as suburbs, towns, or edge environments.
Spectrum Characteristics: Balanced noise textures; audible nature and infrastructure; moderate crowding.
Example Labels: ""Birds and cars"", ""Village street"", ""Wind and distant engine"", ""Suburban ambience""

1 = Fully Rural:
Predominantly natural or agricultural settings — low-density, calm, and rich in environmental sound.
Spectrum Characteristics: Spacious ambient field; clear reverberation; limited artificial interference.
Example Labels: ""Farm animals"", ""Forest"", ""Countryside wind"", ""Birdsong"", ""River""",Urban,Rural
